108,0.0
1250,0.01
2468,0.02
2688,0.03
4424,0.04
5337,0.05
8565,0.06
8842,0.07
10272,0.08
14361,0.09
17188,0.1
17891,0.11
23762,0.12
24831,0.13
24923,0.14
25188,0.15
25407,0.16
26661,0.17
28943,0.18
29574,0.19
31123,0.2
31251,0.21
32329,0.22
38540,0.23
38618,0.24
38808,0.25
40525,0.26
41672,0.27
42775,0.28
45369,0.29
48503,0.3
50787,0.31
53667,0.32
56464,0.33
56852,0.34
57749,0.35
58202,0.36
60213,0.37
61948,0.38
61951,0.39
63478,0.4
64294,0.41
64917,0.42
71968,0.43
75418,0.44
76461,0.45
83181,0.46
86880,0.47
87153,0.48
88232,0.49
89750,0.5
90689,0.51
98403,0.52
101757,0.53
105565,0.54
106408,0.55
106701,0.56
110003,0.57
110714,0.58
110879,0.59
111036,0.6
112469,0.61
113023,0.62
118813,0.63
120560,0.64
128444,0.65
130522,0.66
131663,0.67
133357,0.68
133663,0.69
136840,0.7
137562,0.71
138059,0.72
139152,0.73
141338,0.74
145084,0.75
151154,0.76
151897,0.77
152431,0.78
155045,0.79
155948,0.8
159807,0.81
160942,0.82
162790,0.83
162995,0.84
171423,0.85
175708,0.86
175710,0.87
177941,0.88
183802,0.89
185508,0.9
185590,0.91
186706,0.92
189916,0.93
190460,0.94
192625,0.95
200259,0.96
201659,0.97
201877,0.98
203689,0.99
206224,1.0
210513,1.01
210760,1.02
215961,1.03
219575,1.04
221525,1.05
223894,1.06
226179,1.07
226406,1.08
226463,1.09
230262,1.1
230909,1.11
231008,1.12
232440,1.13
236199,1.14
238090,1.15
238333,1.16
243891,1.17
244810,1.18
245273,1.19
246852,1.2
248091,1.21
248943,1.22
249972,1.23
253096,1.24
253184,1.25
257412,1.26
258850,1.27
265932,1.28
267227,1.29
268829,1.3
270876,1.31
270934,1.32
272070,1.33
272783,1.34
276402,1.35
276889,1.36
278272,1.37
280583,1.38
280937,1.39
282924,1.4
283816,1.41
283886,1.42
287522,1.43
291295,1.44
291880,1.45
292832,1.46
293398,1.47
294504,1.48
295493,1.49
296370,1.5
297957,1.51
298446,1.52
298597,1.53
298713,1.54
298998,1.55
299149,1.56
304975,1.57
306008,1.58
308761,1.59
308805,1.6
310385,1.61
311936,1.62
316939,1.63
317778,1.64
318581,1.65
319437,1.66
319953,1.67
324344,1.68
326881,1.69
330666,1.7
332929,1.71
333001,1.72
333226,1.73
338019,1.74
338642,1.75
341425,1.76
345066,1.77
346522,1.78
347609,1.79
351385,1.8
353462,1.81
356230,1.82
361762,1.83
362086,1.84
367087,1.85
367557,1.86
370599,1.87
370737,1.88
371319,1.89
378608,1.9
380207,1.91
381597,1.92
383850,1.93
386276,1.94
386535,1.95
388158,1.96
389374,1.97
390682,1.98
396461,1.99
396526,2.0
397860,2.01
399699,2.02
400228,2.03
401244,2.04
402728,2.05
402913,2.06
404180,2.07
404363,2.08
405562,2.09
409114,2.1
409603,2.11
410465,2.12
414151,2.13
414290,2.14
417569,2.15
417857,2.16
420979,2.17
421003,2.18
424319,2.19
427041,2.2
427676,2.21
430991,2.22
432416,2.23
433235,2.24
435188,2.25
435467,2.26
439797,2.27
441702,2.28
442335,2.29
443767,2.3
444469,2.31
451818,2.32
452847,2.33
454496,2.34
462255,2.35
462915,2.36
463177,2.37
464032,2.38
464538,2.39
464863,2.4
465823,2.41
466858,2.42
468832,2.43
468928,2.44
469130,2.45
472523,2.46
472555,2.47
473700,2.48
474374,2.49
475464,2.5
478334,2.51
479279,2.52
479723,2.53
479993,2.54
484077,2.55
484225,2.56
485638,2.57
489011,2.58
489258,2.59
491737,2.6
492338,2.61
492972,2.62
495406,2.63
498286,2.64
500289,2.65
501903,2.66
501916,2.67
